userId,location,age,username,password,email
277427,"gilbert, arizona, usa",48,user1,123456a,user1@mail.com
277639,"forsyth, montana, usa",48,user2,123456a,user2@mail.com
277478,"schiedam, zuid-holland, netherlands",31,user3,123456a,user3@mail.com
278188,"lake george, new york, usa",34,user4,123456a,user4@mail.com
278137,"san antonio, texas, usa",27,user5,123456a,user5@mail.com
276925,"barcelona, barcelona, spain",22,user6,123456a,user6@mail.com
277195,"san francisco, california, usa",54,user7,123456a,user7@mail.com
278144,"storm lake, iowa, usa",48,user8,123456a,user8@mail.com
276929,"collex, geneva, switzerland",35,user9,123456a,user9@mail.com
278026,"east orange, new jersey, usa",56,user10,123456a,user10@mail.com
277157,"garden grove, california, usa",70,user11,123456a,user11@mail.com
277378,"vancouver, british columbia, canada",33,user12,123456a,user12@mail.com
277203,"olympia, washington, usa",8,user13,123456a,user13@mail.com
277928,"grand rapids, michigan, usa",45,user14,123456a,user14@mail.com
277965,"chula vista, california, usa",40,user15,123456a,user15@mail.com
276847,"koln, nordrhein-westfalen, germany",27,user16,123456a,user16@mail.com
278356,"lakeland, tennessee, usa",57,user17,123456a,user17@mail.com
278221,"oshawa, ontario, canada",32,user18,123456a,user18@mail.com
276875,"roma, lazio, italy",30,user19,123456a,user19@mail.com
277187,"st. louis, missouri, usa",47,user20,123456a,user20@mail.com
